Time	t: 0 -> 0.125	t: 0.0625 -> 0.1875	t: 0.125 -> 0.25	t: 0.1875 -> 0.3125	t: 0.25 -> 0.375	t: 0.3125 -> 0.4375	t: 0.375 -> 0.5	t: 0.4375 -> 0.5625	t: 0.5 -> 0.625	t: 0.5625 -> 0.6875	t: 0.625 -> 0.75	t: 0.6875 -> 0.8125	t: 0.75 -> 0.875	t: 0.8125 -> 0.9375	t: 0.875 -> 1	t: 0.9375 -> 1.0625	t: 1 -> 1.125
0.00537109	0.354572	0.175733	-0.187522	-0.400218	-0.296078	0.0195747	-0.126208	-0.208949	-1.36616	0.505332	0.120335	-0.370368	-0.2412	-0.51326	0.117493	-0.131937	0.15489
0.00549316	0.0112846	0.087739	0.186789	-0.38926	-0.285616	0.0717827	0.0878212	0.620594	0.272659	-0.145066	0.117005	-0.388694	-0.235129	-0.533278	0.367826	-0.136204	0.413723
0.00561523	-0.083965	0.000496594	-0.25631	-0.353718	-0.25333	0.129976	0.134836	-0.699154	-0.361783	0.22513	0.113009	-0.404697	-0.228352	-0.55047	0.200462	-0.140598	0.0954215
0.0057373	-0.21563	-0.0757623	-0.343584	-0.29775	-0.203933	0.188028	-0.241601	0.302553	-0.188836	0.105385	0.108342	-0.418248	-0.220963	-0.56467	0.380906	-0.145045	-0.400362
0.00585938	0.00488411	-0.131885	0.0460058	-0.227847	-0.144225	0.239654	-0.422839	0.28939	0.0890748	-0.0868052	0.103004	-0.429241	-0.213064	-0.575731	0.273652	-0.14947	-0.356138
0.00598145	0.451326	-0.160855	-0.180713	-0.152125	-0.0823407	0.279148	-0.117366	-0.474828	0.215337	0.0254905	0.0969953	-0.437591	-0.204762	-0.583537	0.381467	-0.153793	0.0940956
0.00610352	-0.346528	-0.158618	-0.20134	-0.0794222	-0.0268342	0.302073	0.0731895	0.440375	-0.082082	0.0733648	0.0903232	-0.443239	-0.196166	-0.587994	0.335973	-0.157931	0.206595
0.00622559	-0.077765	-0.1246	0.123957	-0.0183026	0.0143148	0.30582	-0.159164	0.0733661	-0.894633	-0.376035	0.0829965	-0.446148	-0.187389	-0.589039	0.369637	-0.161797	0.0538185
0.00634766	0.25455	-0.0618212	0.00689093	0.0239075	0.0346465	0.289967	-0.23324	-0.146624	-0.559059	0.204447	0.0750281	-0.446308	-0.178547	-0.586636	0.386749	-0.165305	-0.460652
0.00646973	-0.330534	0.0233784	0.119686	0.0419598	0.0300104	0.256391	0.151451	0.160976	-0.160307	-0.406122	0.0664342	-0.443732	-0.169754	-0.580779	0.345981	-0.168369	-0.0471693
0.0065918	-0.247673	0.12201	0.348515	0.033294	-0.000897938	0.20911	0.394219	0.24438	-0.261875	-0.126684	0.0572346	-0.438458	-0.161125	-0.57149	0.42573	-0.170904	0.774897
0.00671387	-0.120312	0.223413	0.132654	-0.00164972	-0.0563213	0.153865	0.152451	-0.337493	0.886194	-0.149096	0.0474529	-0.430551	-0.152773	-0.558818	0.311494	-0.172824	0.479818
0.00683594	0.00674872	0.316443	0.323395	-0.0594544	-0.13158	0.0974895	-0.00478149	0.131661	0.463855	-0.356336	0.0371159	-0.420095	-0.144808	-0.542843	0.45309	-0.174051	0.484066
0.00695801	0.0425375	0.390734	0.512509	-0.134087	-0.219559	0.0471289	0.263985	0.228691	0.253295	-0.278473	0.026254	-0.407203	-0.137335	-0.523672	0.26757	-0.174508	-0.109945
0.00708008	-0.0890795	0.437896	0.0667798	-0.217556	-0.311483	0.00940337	0.39357	-0.661433	1.17971	-0.111635	0.0149013	-0.392005	-0.130454	-0.501436	0.469405	-0.174123	0.0350392
0.00720215	-0.206199	0.452508	0.205223	-0.300804	-0.397917	-0.0103891	0.03547	0.405404	-0.671358	-0.618923	0.00309484	-0.374657	-0.124259	-0.476296	0.215967	-0.172833	0.340821
0.00732422	-0.144916	0.432786	0.468564	-0.374719	-0.469853	-0.00893408	-0.236787	-0.230881	0.682417	0.00578118	-0.00912476	-0.35533	-0.118834	-0.448434	0.475627	-0.170581	-0.30541
0.00744629	0.0846161	0.380847	-0.137268	-0.43117	-0.519773	0.0146563	-0.0366294	-0.448609	0.191614	-0.51142	-0.0217139	-0.334218	-0.114258	-0.418055	0.158745	-0.167315	-0.0156107
0.00756836	-0.00439734	0.302534	-0.149807	-0.463939	-0.542563	0.0586772	0.0987814	0.364892	0.312454	-0.297069	-0.0346258	-0.311527	-0.110596	-0.385385	0.473028	-0.162997	0.0825151
0.00769043	-0.0214904	0.206808	0.265932	-0.469443	-0.536156	0.118969	-0.20524	-0.474762	0.0267848	-0.207025	-0.0478111	-0.287481	-0.107907	-0.35067	0.0982074	-0.157595	0.112242
0.0078125	0.144844	0.104767	-0.277011	-0.447166	-0.501839	0.18935	-0.401861	0.00177011	-0.288312	-0.378641	-0.0612176	-0.262316	-0.106235	-0.31417	0.463152	-0.151088	0.414391
0.00793457	0.158645	0.00841388	-0.430901	-0.399752	-0.444159	0.2623	-0.0936341	-0.0113735	-0.0205914	-0.331209	-0.0747907	-0.236276	-0.105614	-0.276163	0.0368174	-0.143468	0.0967936
