Time	Clean	Noisy	Reconstructed
0.239746	-1.61824	-3.93159	-1.8057
0.239868	-1.32023	3.39345	-1.53877
0.23999	-0.979043	-0.127194	-1.22954
0.240112	-0.634376	-1.24396	-0.914445
0.240234	-0.326312	-1.75045	-0.630455
0.240356	-0.0905924	3.23253	-0.410674
0.240479	0.0456028	1.72904	-0.280444
0.240601	0.0668565	-2.47678	-0.254367
0.240723	-0.0286651	2.46351	-0.334605
0.240845	-0.228997	2.11164	-0.510663
0.240967	-0.509786	2.79864	-0.760662
0.241089	-0.837164	2.7545	-1.05397
0.241211	-1.17174	-2.76403	-1.35484
0.241333	-1.47326	-6.3874	-1.62668
0.241455	-1.70533	-5.22741	-1.83635
0.241577	-1.83973	-6.12277	-1.95814
0.241699	-1.85974	-3.67121	-1.97672
0.241821	-1.76209	1.00854	-1.88899
0.241943	-1.55739	-1.74547	-1.7044
0.242065	-1.26884	0.733822	-1.44378
0.242188	-0.929487	-1.26462	-1.13688
0.24231	-0.578382	0.322402	-0.818792
0.242432	-0.255918	1.98775	-0.525815
0.242554	0.000909059	-1.25589	-0.291123
0.242676	0.162867	-4.86958	-0.140864
0.242798	0.211935	-2.98735	-0.091069
0.24292	0.14343	-0.316023	-0.145785
0.243042	-0.0334415	-8.28802	-0.296619
0.243164	-0.29667	-1.09835	-0.523761
0.243286	-0.61404	0.525986	-0.798362
0.243408	-0.946928	-3.87879	-1.08597
0.24353	-1.25486	-2.41398	-1.35061
0.243652	-1.50029	0.357677	-1.55909
0.243774	-1.65301	-4.25241	-1.6849
0.243896	-1.69374	-1.38758	-1.71133
0.244019	-1.61639	2.02858	-1.63346
0.244141	-1.42877	-0.170221	-1.45873
0.244263	-1.15168	-3.01714	-1.20598
0.244385	-0.816453	1.9657	-0.903256
0.244507	-0.461268	0.664601	-0.584455
0.244629	-0.126632	-2.11372	-0.28528
0.244751	0.149386	1.63244	-0.0390216
0.244873	0.335649	0.260358	0.127382
0.244995	0.411623	-3.45525	0.196527
0.245117	0.369799	1.85967	0.162591
0.245239	0.216578	0.346418	0.0319981
0.245361	-0.0284827	-2.08579	-0.17736
0.245483	-0.33498	-0.28893	-0.438269
0.245605	-0.665248	-0.0562627	-0.717432
0.245728	-0.978802	-1.45908	-0.979427
0.24585	-1.23711	-0.171939	-1.19091
0.245972	-1.40816	0.0546125	-1.32458
0.246094	-1.47019	-3.61053	-1.36238
0.246216	-1.41431	-2.5691	-1.29764
0.246338	-1.2455	0.214672	-1.13588
0.24646	-0.982064	-2.26106	-0.8941
0.246582	-0.653453	-1.76381	-0.598759
0.246704	-0.296787	1.0726	-0.282648
0.246826	0.047512	1.62924	0.0190238
0.246948	0.340495	1.6178	0.272796
0.24707	0.549273	-3.1428	0.450923
0.247192	0.650902	2.78211	0.53466
0.247314	0.635084	1.02136	0.516464
0.247437	0.505384	-0.0507467	0.400883
0.247559	0.278808	-1.65584	0.203998
0.247681	-0.0162023	5.95696	-0.0484991
0.247803	-0.343126	1.08156	-0.324359
0.247925	-0.66167	2.51399	-0.588609
0.248047	-0.932521	-2.0656	-0.807707
0.248169	-1.12199	-0.832742	-0.953513
0.248291	-1.20596	2.29066	-1.00663
0.248413	-1.17278	0.17447	-0.958676
0.248535	-1.02459	-2.22577	-0.813308
0.248657	-0.777105	-1.55089	-0.585743
0.248779	-0.457726	-1.40467	-0.300958
0.248901	-0.102346	-6.58702	0.00927319
0.249023	0.248907	1.00543	0.310161
0.249146	0.556392	3.3557	0.568023
0.249268	0.785636	-1.42515	0.754274
0.24939	0.911398	-0.875748	0.848819
0.249512	0.920643	1.86549	0.84242
0.249634	0.814082	3.9088	0.737793
0.249756	0.606087	0.538107	0.549271
0.249878	0.322995	3.28403	0.3011
0.25	3.6988e-14	-0.540953	0.0245573
0.250122	-0.322995	1.30886	-0.245763
0.250244	-0.606087	0.382066	-0.476053
0.250366	-0.814082	-0.642133	-0.637298
0.250488	-0.920643	-1.40281	-0.708719
0.25061	-0.911398	-1.9661	-0.680233
0.250732	-0.785636	-2.52374	-0.553647
0.250854	-0.556392	-2.3708	-0.342439
0.250977	-0.248907	3.36648	-0.0701547
0.251099	0.102346	-1.50172	0.232387
0.251221	0.457726	2.63748	0.530752
0.251343	0.777105	-2.49282	0.790976
0.251465	1.02459	-1.38473	0.983592
0.251587	1.17278	0.71153	1.08713
0.251709	1.20596	-0.414201	1.09064
0.251831	1.12199	1.99406	0.995034
0.251953	0.932521	3.31809	0.812925
0.252075	0.66167	0.148013	0.567164
0.252197	0.343126	0.0525236	0.288115
0.252319	0.0162023	1.56309	0.0100567
0.252441	-0.278808	1.42019	-0.232885
0.252563	-0.505384	-0.824747	-0.410783
0.252686	-0.635084	-1.13492	-0.501457
0.252808	-0.650902	-2.88779	-0.493106
0.25293	-0.549273	0.860491	-0.38571
0.253052	-0.340495	-2.05569	-0.191026
0.253174	-0.047512	-1.32229	0.0687986
0.253296	0.296787	0.718095	0.363858
0.253418	0.653453	1.61228	0.660031
0.25354	0.982064	2.24975	0.923029
0.253662	1.2455	4.45166	1.12247
0.253784	1.41431	3.97598	1.23546
