Hz	t: 0 -> 0.125	t: 0.0625 -> 0.1875	t: 0.125 -> 0.25	t: 0.1875 -> 0.3125	t: 0.25 -> 0.375	t: 0.3125 -> 0.4375	t: 0.375 -> 0.5	t: 0.4375 -> 0.5625	t: 0.5 -> 0.625	t: 0.5625 -> 0.6875	t: 0.625 -> 0.75	t: 0.6875 -> 0.8125	t: 0.75 -> 0.875	t: 0.8125 -> 0.9375	t: 0.875 -> 1	t: 0.9375 -> 1.0625	t: 1 -> 1.125	Average PSD:
360	0.00153358	8.02577e-05	0.00117262	0.000139637	0.000956291	0.000857933	0.00100346	0.00238408	0.00164547	0.000297281	0.00105813	0.00074907	0.00131764	3.73401e-05	6.95878e-05	0.00144895	0.00130778	0.000944653
368	0.000720596	4.38824e-06	0.000296195	0.000168163	6.57119e-05	0.000632065	0.00242742	0.000386032	0.00281249	0.000797979	0.00327817	0.00134266	0.00175348	2.72982e-05	1.53717e-05	0.00112441	0.00107366	0.000995652
376	6.44577e-05	0.000407685	0.00032839	3.45656e-06	0.000260919	0.000255024	0.00131304	0.000495807	0.00131917	8.17277e-05	0.00147072	0.00119005	0.00114639	0.000183647	0.000165825	0.00111348	0.000594406	0.000611424
384	0.000118465	0.000204976	0.000632726	5.11702e-05	0.000686142	8.46202e-05	0.000334994	0.000291404	0.000185144	1.28973e-05	0.000512948	0.000134222	0.00086582	0.000533704	0.000310855	0.000404303	7.19442e-05	0.000319784
392	0.000409311	0.000426175	0.000453974	9.10929e-05	0.00117094	0.000513825	7.65164e-05	0.000128133	0.000225403	6.51378e-05	0.000257977	9.8045e-05	0.000317648	0.000816744	0.000591463	0.00071799	0.000219543	0.000387054
400	0.000360982	2.46982e-05	0.00110413	8.70209e-05	0.000653833	0.000528553	0.00034977	0.000554507	0.000242538	0.000452434	5.44968e-05	4.25879e-05	0.000213746	0.000158254	0.000587396	0.000345087	0.000535711	0.000370338
408	0.000169095	0.000457124	0.00169848	0.00204211	0.000592015	0.00036963	0.000138542	0.00161896	0.000515898	0.00157016	6.68962e-05	0.000311943	0.00156206	0.000393068	0.000375281	7.11225e-05	0.000474574	0.000730997
416	8.03747e-05	0.000963666	0.00238097	0.00340847	0.000320242	0.00099308	0.000189546	0.00144885	9.70786e-05	0.00253077	4.06506e-06	0.000439901	0.00173758	0.000259897	0.000474333	8.64686e-05	0.000504383	0.000936451
424	3.09744e-05	0.000874628	0.000468815	0.00105611	0.00114278	0.000271887	0.000466027	0.000993216	0.000738205	0.000697722	0.000310604	0.000215198	0.00164472	0.000644039	0.00104086	0.000308189	0.000537497	0.000673028
432	0.000148541	7.2701e-05	0.000461123	0.0022456	0.000323261	0.00128646	0.00114538	0.00102996	0.00110631	0.000384672	0.000514858	0.000374027	7.11927e-05	0.000976079	0.00181242	0.000209549	0.000530944	0.000746651
440	0.00159653	0.00587242	0.00131806	0.0021626	0.000489887	0.000250784	0.00470931	0.00491964	0.0071092	0.00103966	0.000986244	0.000411112	0.000837778	0.000492397	0.000413591	0.00120602	0.000950236	0.00204503
448	0.00449244	0.0356329	0.0211634	0.0196573	0.0195599	0.0150608	0.020454	0.022498	0.00746978	0.00322409	0.000230556	0.00039775	0.00128307	0.000417764	6.16808e-05	0.000755246	0.00118511	0.0102084
456	0.00488684	0.0153293	0.0087153	0.00591005	0.0113431	0.0106022	0.00984147	0.0104055	0.00742721	0.000876009	0.000496228	0.00148881	0.00104846	0.000390574	1.58838e-05	0.00130022	0.000687879	0.00533912
464	0.00198413	0.000475043	0.00107347	0.00126475	0.000192684	0.00089948	0.000908006	0.000629089	0.00161678	0.000209155	0.000154079	0.000764553	4.29951e-06	0.0015421	0.000650063	0.00172068	0.000182137	0.000839442
472	0.000413128	0.00174756	0.00224589	0.00108873	0.000246572	0.000441446	0.000457851	0.000198361	0.000579639	0.000759301	0.000324016	0.000198354	0.000818809	0.000780914	0.00157751	0.000203258	7.63201e-05	0.000715156
480	0.000639701	0.000755706	0.00045221	0.000917032	0.000373305	0.000998309	0.00032385	0.000631053	0.0014831	0.00101868	0.00031175	0.00101658	0.000137984	0.000572128	0.000534134	0.000521146	8.85266e-05	0.000633835
488	0.00080874	0.00117048	0.000118824	0.000776183	0.000211626	0.0017623	0.000107607	0.00134646	0.000604044	0.000114811	0.000762575	0.000438518	0.0017175	0.000327479	0.000669784	0.000560183	8.12929e-06	0.000676779
496	0.000865173	0.000868894	0.000112892	0.000433673	0.000420841	0.00102996	0.000741862	0.00157104	0.000783049	0.000587883	5.26493e-05	0.000142476	0.00272108	5.82816e-05	0.000976329	0.000544394	0.000126487	0.000708057
504	0.000455107	6.35497e-05	0.00017318	0.000757669	0.00133514	0.000141865	0.000266388	0.000268012	0.000106842	0.000305589	0.000386066	0.000126051	0.000164835	0.00109558	0.00135951	0.00120401	0.000566499	0.000516229
512	1.77656e-05	0.000908421	0.000735084	0.000220767	0.00337641	5.94447e-05	0.000597155	0.00243356	0.000180253	0.000629643	0.00112082	0.000289061	0.000252879	0.00145141	0.000595439	0.000679366	0.000675041	0.000836618
520	0.000220793	0.00364168	0.000336508	1.09966e-06	0.0029402	0.000485952	0.00120447	0.000905893	0.00120777	0.000653303	0.00169208	0.000341899	0.000151238	0.000907105	5.04998e-05	0.000517766	0.000335696	0.000917291
528	0.000285619	0.00186111	0.000367422	0.000199133	0.000768024	0.000896944	0.000501635	0.00125967	0.0011517	0.000389282	0.000426965	7.46918e-05	0.000413436	0.00149565	0.000403634	0.00106188	0.000187951	0.000690868
536	2.89834e-05	0.000143081	0.00210618	0.000157689	2.94225e-05	0.00263422	0.00519347	0.000212389	0.000378877	0.000926473	6.90489e-05	0.000258356	0.00388563	0.00102653	0.000566823	0.000791776	0.000274944	0.00109905
544	6.03533e-05	0.00110035	0.000907213	0.000638899	0.000117018	0.00177805	0.00304938	0.000147235	2.52568e-05	0.00124142	5.87704e-05	1.09722e-05	0.00336417	0.000601482	0.000954418	0.000416101	0.000189343	0.000862379
552	8.70149e-05	0.000538065	7.42527e-06	0.00166216	0.000264126	0.00125652	0.00105897	0.000214049	0.000992163	0.000461326	0.000325856	0.000309399	0.000309435	0.00114822	9.41607e-05	0.00132943	5.66247e-05	0.000594996
560	1.58066e-06	0.000101563	0.000137779	0.000482823	0.00127474	0.00090666	0.000687075	0.000126756	0.00206134	0.000714714	0.000518367	9.50266e-05	0.000180399	0.00120908	0.000508062	0.00131486	0.000185296	0.000618007
568	7.09625e-05	6.56998e-05	4.37545e-05	0.000335518	0.00090406	0.00085762	0.00023959	0.000105763	0.00160105	0.000588033	4.9571e-05	0.000507637	0.000143662	0.000711321	0.000123963	0.000156112	0.000457694	0.00040953
576	0.000150015	3.35674e-05	0.000219885	2.89881e-06	0.000634249	0.00104882	9.08719e-05	0.000548992	0.000286324	0.00127029	0.000683983	0.000551727	0.000418308	0.00055911	0.00045076	0.000440208	0.000941971	0.000490116
584	4.63122e-05	0.000690174	6.50602e-05	0.000438399	0.000907465	0.00128026	5.42229e-05	0.00152464	0.000703239	0.00354016	0.00016618	0.000173998	0.000646529	0.000866618	0.00106108	0.00048357	0.00170745	0.000844432
592	7.2402e-05	0.000929284	3.30705e-05	0.000190694	0.000228195	0.00302043	0.000152888	0.00209638	0.00254464	0.00096757	0.00014632	7.02045e-05	0.000495691	0.00239682	0.00136074	4.56537e-05	0.00200275	0.000985514
600	0.000437524	9.25086e-05	9.64559e-05	0.00077872	0.000406118	0.00287781	0.000161923	0.00220568	0.00180265	7.00805e-05	2.58444e-05	0.000508239	0.000425122	0.00168805	0.000726445	0.000730318	0.00123142	0.000839112
608	0.000640715	0.00070852	6.69859e-05	0.000505091	0.000364636	0.000445605	5.50389e-05	0.000671086	0.000885822	0.00030201	0.000187053	5.1329e-05	0.000139654	0.00218448	4.97215e-05	0.00158184	0.000245019	0.000534389
616	0.000498336	0.000613203	0.000804657	0.00200959	0.000481571	0.000732113	9.30751e-05	0.000683952	0.000523154	0.00014206	0.000318241	0.000839559	0.000160991	0.0014389	0.00228117	0.000764884	0.000102385	0.000734579
624	0.00036814	0.000458501	0.00151224	0.00439119	0.00175222	0.000763438	0.00102788	0.00183622	0.00119995	0.000842706	0.000819661	0.00173206	0.000267402	0.0006591	0.0028666	0.000414443	0.000394213	0.00125329
632	0.000401433	0.000125244	0.000200797	0.00253572	0.000911764	0.000525044	0.00210777	0.000719773	0.00101079	0.00133168	7.89813e-05	0.000839827	0.00111667	0.000349935	0.0010242	0.000786058	0.000449835	0.000853854
640	0.000462865	0.0006646	0.000321416	0.000973649	0.000165932	0.000695967	0.000357434	0.000478278	0.00103089	0.00145737	0.000430007	0.00060197	0.000713238	0.000612915	0.000690832	0.000856981	0.000318039	0.000637199
648	0.000446787	0.00133299	0.00046366	6.69508e-05	0.000282205	5.1001e-05	0.000283488	0.000190169	0.000600398	0.000727148	0.00017036	0.00218716	0.00105654	0.000898752	0.000481491	0.00118192	0.000105179	0.000619188
656	0.000391859	0.000745807	0.000117891	0.000434552	0.00160674	0.00157854	0.0010708	0.000613288	0.000201916	0.00013646	0.000412106	0.00153271	0.00615284	5.70967e-05	0.000494798	0.000621768	4.6733e-06	0.000951402
664	0.000336028	0.0002444	0.000423235	0.000372313	0.00038993	0.00153174	0.0022174	0.000298466	0.0012354	0.000692799	0.000532727	0.00247093	0.0036453	0.00147495	0.00135724	0.000710177	7.91259e-05	0.00105954
672	0.000330575	0.000222705	0.0020428	0.000996879	0.0011183	0.000157742	0.000934922	7.16719e-05	0.00219584	0.00169958	0.00107584	0.000524084	0.00210339	0.00104207	0.00110435	0.000592716	0.000253771	0.00096866
680	0.000541886	0.00121738	0.00124095	0.000345503	0.0023245	0.0010865	4.77151e-05	0.000320706	0.00256502	0.000800508	0.000509676	0.000348677	0.000833142	4.34974e-05	0.0016713	0.00109947	0.000498201	0.000911448
688	0.000797302	0.000760976	0.000258335	0.000583816	0.00192236	0.00124449	0.00026023	0.00144992	0.0017279	0.000519699	0.000247588	0.00028923	0.000204217	0.000628466	0.00121724	0.00107343	0.000402197	0.000799259
696	0.000660508	0.0002793	0.00026623	0.00180688	0.00284329	0.00029428	0.000423836	0.000624625	0.000807888	0.000628005	0.000388522	0.00175903	0.000885954	0.000393377	0.00121938	0.00130058	9.55268e-05	0.000863365
704	0.000283354	0.00116409	0.000811469	0.00349866	0.00180755	0.00253675	0.00106194	0.000223622	0.000641792	0.00172649	0.000537097	0.00332857	0.000652831	0.000201778	0.00180233	0.000862903	9.59586e-05	0.00124925
712	6.01355e-05	0.000281033	3.9505e-05	0.000428575	3.07686e-05	0.00274135	0.00087022	0.00183874	0.0010056	0.000751179	0.000186742	0.00283263	0.00241671	0.000271071	0.00173737	0.00056819	0.000198945	0.000956398
720	3.42595e-05	4.49047e-05	7.27289e-05	0.000191726	0.000605923	0.00100307	0.000650251	0.000446195	0.00310857	0.000677148	9.80677e-06	0.000401876	0.00309471	0.000972177	0.000617723	0.000235888	0.000475814	0.000743692
728	0.000165029	0.000476591	0.000679884	0.000759081	0.000540732	0.00102054	0.000341641	0.00187856	0.000376189	0.000207246	1.45844e-05	0.000345153	0.000195747	0.000578383	0.00114177	9.09583e-05	0.000867587	0.000569393
736	0.00033349	0.00101386	0.00102114	0.00186494	0.000494182	0.000408534	0.00158107	0.00085698	0.00140448	0.000102162	0.000108928	0.000536471	8.55786e-05	0.000494133	0.00193849	0.000373113	0.000614506	0.000778356
744	0.000468874	0.000550577	0.000860609	0.000647055	0.000440855	0.000278649	0.00342998	0.00183178	0.000226199	4.97729e-05	0.000114842	0.000980534	8.03639e-06	0.000209573	0.000818137	0.00105478	9.53158e-05	0.00070974
752	0.000682987	0.000239586	0.000723237	0.000580772	0.000733285	0.000941758	0.00175839	0.00213111	0.000547346	5.399e-05	0.000341862	0.00201404	3.49316e-05	0.000226183	0.00025306	0.000466347	0.000416711	0.000714446
760	0.000847881	0.000327631	6.31512e-05	0.000991788	0.000201785	0.000625032	0.00118941	0.000623117	0.000704527	0.000254772	0.00174558	0.000502193	0.000445461	0.0015332	0.00108388	0.000452509	0.00112873	0.000748273
768	0.000721078	9.97477e-06	9.41663e-05	0.000686739	0.000198022	0.00207235	0.00106605	0.000134511	0.000286131	4.22473e-05	0.00181804	0.000286276	0.000549411	0.0010535	0.00410892	0.000593056	0.00117528	0.000876221
776	0.000468744	0.00123138	0.000558899	0.000233246	0.000165643	0.00205874	0.00182273	0.000787612	0.000921362	0.00038038	0.000732492	0.00152825	8.70161e-06	0.000779337	0.0013834	0.000372909	0.000782991	0.000836283
784	0.000343392	0.000594109	0.00100571	0.000322251	0.000530059	0.00118765	0.00134591	0.000715284	0.00200324	0.000442521	0.00176517	0.00141144	0.000444347	0.000565302	0.000126317	0.000265264	0.000443922	0.000794817
