Time	Amplitude(Raw)		Time	Amplitude(windowed)		Hz	PSD		Time	Amplitude(denoised)
0.0361328	0.696205		0.0361328	0.00893687		148	3.46717		0.0361328	-0.0489417
0.036377	-5.47137		0.036377	-0.0711817		149	2.21727		0.036377	-0.0835019
0.0366211	-0.643712		0.0366211	-0.00848688		150	2.64534		0.0366211	-0.128271
0.0368652	2.62685		0.0368652	0.0350944		151	1.70465		0.0368652	-0.181255
0.0371094	3.42795		0.0371094	0.0464028		152	1.12783		0.0371094	-0.240108
0.0373535	-1.61694		0.0373535	-0.0221755		153	0.568047		0.0373535	-0.302215
0.0375977	1.88202		0.0375977	0.0261478		154	0.147636		0.0375977	-0.364785
0.0378418	1.15333		0.0378418	0.0162315		155	0.084459		0.0378418	-0.424949
0.0380859	-0.375797		0.0380859	-0.00535698		156	0.554651		0.0380859	-0.479859
0.0383301	-0.0771349		0.0383301	-0.00111363		157	0.988883		0.0383301	-0.526793
0.0385742	-1.1368		0.0385742	-0.0166212		158	2.87572		0.0385742	-0.563249
0.0388184	-1.74979		0.0388184	-0.025907		159	2.81027		0.0388184	-0.587037
0.0390625	-4.88908		0.0390625	-0.0732954		160	2.3362		0.0390625	-0.596356
0.0393066	-0.625127		0.0393066	-0.0094886		161	0.332058		0.0393066	-0.589863
0.0395508	2.47359		0.0395508	0.0380113		162	0.136697		0.0395508	-0.566725
0.0397949	1.1386		0.0397949	0.0177123		163	0.503179		0.0397949	-0.526651
0.0400391	-2.99977		0.0400391	-0.0472362		164	0.615138		0.0400391	-0.469909
0.0402832	-4.32661		0.0402832	-0.0689584		165	0.611518		0.0402832	-0.397323
0.0405273	-2.21404		0.0405273	-0.0357145		166	1.09138		0.0405273	-0.310255
0.0407715	-1.16188		0.0407715	-0.0189674		167	3.52566		0.0407715	-0.210559
0.0410156	-1.39783		0.0410156	-0.0230919		168	0.018659		0.0410156	-0.100531
0.0412598	-1.99208		0.0412598	-0.0332995		169	1.02061		0.0412598	0.0171665
0.0415039	5.94929		0.0415039	0.100622		170	1.2246		0.0415039	0.139586
0.041748	-5.65352		0.041748	-0.096741		171	0.749494		0.041748	0.263591
0.0419922	1.46404		0.0419922	0.0253442		172	0.551213		0.0419922	0.385951
0.0422363	0.396874		0.0422363	0.00695		173	0.95367		0.0422363	0.503451
0.0424805	-3.23882		0.0424805	-0.0573715		174	1.02335		0.0424805	0.612992
0.0427246	3.55205		0.0427246	0.0636408		175	1.82808		0.0427246	0.711689
0.0429688	1.6077		0.0429688	0.0291327		176	0.294134		0.0429688	0.796968
0.0432129	0.538472		0.0432129	0.00986803		177	1.19981		0.0432129	0.866643
0.043457	2.50017		0.043457	0.0463341		178	4.77133		0.043457	0.918991
0.0437012	6.13197		0.0437012	0.114912		179	1.7505		0.0437012	0.952803
0.0439453	1.47241		0.0439453	0.0278999		180	1.29181		0.0439453	0.967423
0.0441895	1.35343		0.0441895	0.0259293		181	4.31344		0.0441895	0.962766
0.0444336	-0.516102		0.0444336	-0.00999646		182	1.55494		0.0444336	0.939322
0.0446777	2.48324		0.0446777	0.0486248		183	1.10845		0.0446777	0.898132
0.0449219	0.396384		0.0449219	0.00784616		184	1.89341		0.0449219	0.840757
0.045166	-2.4612		0.045166	-0.0492453		185	0.358728		0.045166	0.76922
0.0454102	1.91732		0.0454102	0.0387759		186	0.884158		0.0454102	0.685939
0.0456543	2.04782		0.0456543	0.0418588		187	0.481628		0.0456543	0.593645
0.0458984	5.86588		0.0458984	0.121179		188	0.818306		0.0458984	0.495291
0.0461426	-0.736176		0.0461426	-0.0153692		189	0.383434		0.0461426	0.393951
0.0463867	1.08271		0.0463867	0.0228419		190	0.607708		0.0463867	0.292721
0.0466309	-3.28854		0.0466309	-0.0701053		191	0.677161		0.0466309	0.194613
0.046875	-0.535789		0.046875	-0.011541		192	2.15186		0.046875	0.102457
0.0471191	-3.17958		0.0471191	-0.069199		193	1.82413		0.0471191	0.0188089
0.0473633	2.05628		0.0473633	0.0452136		194	0.193438		0.0473633	-0.0541339
0.0476074	0.955043		0.0476074	0.0212149		195	0.683025		0.0476074	-0.114602
0.0478516	-2.26077		0.0478516	-0.0507324		196	3.46661		0.0478516	-0.16131
0.0480957	1.6071		0.0480957	0.0364299		197	4.35346		0.0480957	-0.193496
0.0483398	1.43967		0.0483398	0.0329643		198	2.27538		0.0483398	-0.210942
0.048584	1.59592		0.048584	0.036909		199	2.42422		0.048584	-0.213977
0.0488281	-0.711274		0.0488281	-0.0166142		200	3.01532		0.0488281	-0.203457
0.0490723	-0.239656		0.0490723	-0.00565363		201	0.772766		0.0490723	-0.180736
0.0493164	1.34065		0.0493164	0.0319396		202	0.00538339		0.0493164	-0.147612
0.0495605	-3.14283		0.0495605	-0.0756121		203	3.2988		0.0495605	-0.106257
0.0498047	-3.34887		0.0498047	-0.0813583		204	3.00338		0.0498047	-0.0591415
0.0500488	-1.55365		0.0500488	-0.0381126		205	2.01808		0.0500488	-0.00894475
0.050293	-0.649909		0.050293	-0.0160976		206	4.40702		0.050293	0.0415452
0.0505371	-0.536956		0.0505371	-0.0134282		207	1.4896		0.0505371	0.08953
